"","place3","Freq","lon","lat"
"160","오산시 갈곶동 KCC일방통행 ",7,127.0671952,37.1321172
"161","오산시 고현동 남부대로 ",3,127.082711,37.1339145
"162","오산시 동탄더 정문 삼거리",1,127.0600685,37.1703135
"163","오산시 동탄더 후문 ",4,127.064284,37.168944
"164","오산시 동탄더정문",1,127.0600685,37.1703135
"165","오산시 서동 초평로 ",1,127.0438433,37.1441167
"166","오산시 세마역",1,127.0430124,37.1878476
"167","오산시 세마1단지사거리",2,127.0800822,37.1574199
"168","오산시 세마9단지후문",5,127.0491457,37.1770537
"169","오산시 세마타워",78,127.0418629,37.1861657
"170","오산시 세마초등학교 정문 삼거",6,127.0430124,37.1878476
"171","오산시 세교 본초한의원 ",29,127.0438564,37.1811384
"172","오산시 세교동 다이소",5,127.044086,37.1925905
"173","오산시 세교동 경기대로761번길",2,127.0464483,37.1862618
"174","오산시 세교동 독산성로 ",3,127.0289211,37.1821853
"175","오산시 세교동 롯데알미늄",1,127.0431124,37.1969144
"176","오산시 세교동 593 ",4,127.038805,37.1862582
"177","오산시 세교동 596-1 ",1,127.038805,37.1862582
"178","오산시 세교동 614,ADT무인주차장",1,127.038805,37.1862582
"179","오산시 세교5단지사거리",6,127.0458628,37.1758615
"180","오산시 세교5단지롯데슈퍼",12,127.0458349,37.1773613
"181","오산시 세교6단지 ",1,127.0449739,37.1789444
"182","오산시 세교9단지 후문 상가도로",150,127.0487236,37.177278
"183","오산시 센트하임 ",32,127.0534909,37.1598558
"184","오산시 센트하임아파트",6,127.0534804,37.1598596
"185","오산시 수목원로",1,127.048516,37.1581171
"186","오산시 수청동  물향기지하차도상부/안전지대-각도상이",1,127.0567084,37.166561
"187","오산시 수청동 오산대역 입구",28,127.063103,37.169296
"188","오산시 수청동 내삼미로 ",3,127.0679533,37.1645681
"189","오산시 수청동 내삼미로79번길",22,127.0651094,37.1702185
"190","오산시 수청동 내삼미로80번길",2,127.0679533,37.1645681
"191","오산시 수청동 613,홈플러스",4,127.0615097,37.1701788
"192","오산시 수청동 619-1 ,할리스커피",1,127.0652761,37.170187
"193","오산시 수청동 619-10,GS마트",4,127.0615097,37.1701788
"194","오산시 수청동 619-4,스타부동산",1,127.0680998,37.1657235
"195","오산시 수청동 640-2,할리스커피",4,127.0652761,37.170187
"196","오산시 수청동 640-3,할리스커피",8,127.0652761,37.170187
"197","오산시 수청동 640-4,스타부동산",1,127.0680998,37.1657235
"198","오산시 수청동 청학로 ",19,127.0618011,37.1602237
"199","오산시 수청동 좋은아이 어린이집",7,127.0608894,37.1646409
"200","오산시 수청동 좋은아이어린이집",2,127.0608894,37.1646409
"201","오산시 수청동 행운부동산",2,127.0680998,37.1657235
"202","오산시 수청동 할리스커피 ",1,127.0652761,37.170187
"203","오산시 수청동 현충로 ",1,127.0727171,37.162831
"204","오산시 시티자이 1단지 후문",5,127.0892474,37.1488377
"205","오산시 시티자이 201동 ",4,127.093103,37.1509862
"206","오산시 아이러브안경",17,127.062657,37.1577014
"207","오산시 양산동-한신대  사거리",3,127.0225987,37.1933281
"208","오산시 양산동 세남로 ",3,127.0370699,37.1933479
"209","오산시 양산동 양산로398번길",4,127.0309538,37.1921924
"210","오산시 양산동 은혜와비전교회",2,127.0669709,37.2105243
"211","오산시 양산동 한신대길 ",2,127.0228737,37.1956442
"212","오산시 어울림(복개천) 사거리",5,127.069106,37.1439995
"213","오산시 어울림(북개천) 사거리",2,127.0314534,37.1909183
"214","오산시 물향기지하도",10,127.0567084,37.166561
"215","오산시 내삼미동 오산대역로",3,127.0613099,37.1793896
"216","오산시 내삼미동 삼미로",1,127.0696052,37.1720638
"217","오산시 내삼미동 수청로 ",4,127.0508393,37.1750144
"218","오산시 내삼미동 수청로50번길",3,127.0575118,37.1753557
"219","오산시 내삼미동 수청어린이집",2,127.0549453,37.1742229
"220","오산시 내삼미동 물향기유치원",1,127.0548619,37.1757783
"221","오산시 내삼미동 내삼미로 ",2,127.0679533,37.1645681
"222","오산시 내삼미동 임마누엘교회",2,127.0563165,37.1767003
"223","오산시 내삼미동 임마누엘교회 ",4,127.0563165,37.1767003
"224","오산시 내삼미동물향기유치원",1,127.0548619,37.1757783
"225","오산시 남촌동-남촌대교",6,127.0627785,37.1495316
"226","오산시 유시티상황실",37,127.0772212,37.1498096
"227","오산시 유탑유블레스  남측",11,127.0723695,37.1414858
"228","오산시 유탑유블레스  북측",6,127.0723695,37.1414858
"229","오산시 유탑유블레스 북측",16,127.0723695,37.1414858
"230","오산시 청학동 대호로 ",4,127.0560701,37.1567986
"231","오산시 청학동 가장로 ",1,127.0577308,37.1521058
"232","오산시 청학동 70-22,강남프라자",1,127.057048,37.1547112
"233","오산시 청학동 청학로 ",2,127.0577308,37.1521058
"234","오산시 청호-자이1단지 후문",1,127.0892474,37.1488377
"235","오산시 청호동 엘지로",4,127.0760584,37.1254388
"236","오산시 청호동 청호로",2,127.0818411,37.1291411
"237","오산시 컨벤션웨딩홀",11,127.0680847,37.1440257
"238","오산시 은계동 경기대로416번길",16,127.0709405,37.1619773
"239","오산시 은계동 현대2차아파트",2,127.0748048,37.1611693
"240","오산시 은계동 현충로72번길 부",3,127.0729705,37.1603491
"241","오산시 주공8단지입구",6,127.0755922,37.1444527
"242","오산시 지곶동 엘오티베큠",2,127.0327075,37.1796169
"243","오산시 지곶동 ㈜필옵틱스오산사옥",1,127.033092,37.1824819
"244","오산시 지곶동 세마초등학교",3,127.0430124,37.1878476
"245","오산시 지곶동 세마이편한A후문",4,127.0254489,37.1680742
"246","오산시 지곶동 이편한세상",1,127.0254489,37.1680742
"247","오산시 지곶동 이편한세상A후문",2,127.0254489,37.1680742
"248","오산시 지곶동 e편한세상 입구",2,127.0254489,37.1680742
"249","오산시 중앙동-세명프라자",28,127.070948,37.148994
"250","오산시 중앙동-성심약국",5,127.0699167,37.1485319
"251","오산시 중앙동-시청후문",10,127.0774713,37.1498279
"252","오산시 CGV 오산중앙",12,127.0709978,37.1419761
"253","오산시 한라아파트정문",22,127.049402,37.141722
"254","오산시 한양수자인 정문",1,127.0869536,37.1416891
"255","오산시 한양수자인APT 정문",1,127.0869536,37.1416891
"256","오산시 홈플러스  사거리",1,127.0615097,37.1701788
"257","오산시 화성초등학교",12,127.0685831,37.1644744
"258","오산시 힐스테이트아파트",9,127.0732224,37.1323117
"259","오산시 GS25오산타운점 ",62,127.0539457,37.1621966
"260","오산시 GS25궐동대호점 ",110,127.0535292,37.1583082
"261","오산시 GS25궐동승리점 ",77,127.0532515,37.1563084
"262","오산시 보건소 주차장입구쪽",2,127.0778322,37.1593062
"263","오산시 부산동-운천초교",4,127.0788601,37.1562811
"264","오산시 부산동 경기동로 ",4,127.0837024,37.1580598
"265","오산시 부산동 롯데물류센터",2,127.0938308,37.1571702
